"기준_년_코드(STDR_YY_CODE_SE)","기준_분기_코드(STDR_QU_CODE_SE)","블록코드(BLCK_CODE_SE)","서비스업종코드(SVC_INDUTY_CODE_SE)","분기_매출금액(THSMON_SELNG_AMOUNT_AM)","분기_매출건수(THSMON_SELNG_CO)","주중_매출비율(MDWK_SELNG_RATE)","주말_매출비율(WKEND_SELNG_RATE)","월요일_매출비율(MON_SELNG_RATE)","화요일_매출비율(TUES_SELNG_RATE)","수요일_매출비율(WED_SELNG_RATE)","목요일_매출비율(THUR_SELNG_RATE)","금요일_매출비율(FRI_SELNG_RATE)","토요일_매출비율(SAT_SELNG_RATE)","일요일_매출비율(SUN_SELNG_RATE)","시간대00~06매출비율(TMZON_00_06_SELNG_RATE)","시간대06~11매출비율(TMZON_06_11_SELNG_RATE)","시간대11~14매출비율(TMZON_11_14_SELNG_RATE)","시간대14~17매출비율(TMZON_14_17_SELNG_RATE)","시간대17~21매출비율(TMZON_17_21_SELNG_RATE)","시간대21~24매출비율(TMZON_21_24_SELNG_RATE)","남성_매출비율(ML_SELNG_RATE)","여성_매출비율(FML_SELNG_RATE)","연령대10_매출비율(AGRDE_10_SELNG_RATE)","연령대20_매출비율(AGRDE_20_SELNG_RATE)","연령대30_매출비율(AGRDE_30_SELNG_RATE)","연령대40_매출비율(AGRDE_40_SELNG_RATE)","연령대50_매출비율(AGRDE_50_SELNG_RATE)","연령대60이상_매출비율(AGRDE_60_ABOVE_SELNG_RATE)","주중_매출금액(MDWK_SELNG_AMT)","주말_매출금액(WKEND_SELNG_AMT)","월요일_매출금액(MON_SELNG_AMT)","화요일_매출금액(TUES_SELNG_AMT)","수요일_매출금액(WED_SELNG_AMT)","목요일_매출금액(THUR_SELNG_AMT)","금요일_매출금액(FRI_SELNG_AMT)","토요일_매출금액(SAT_SELNG_AMT)","일요일_매출금액(SUN_SELNG_AMT)","시간대00~06매출금액(TMZON_00_06_SELNG_AMT)","시간대06~11매출금액(TMZON_06_11_SELNG_AMT)","시간대11~14매출금액(TMZON_11_14_SELNG_AMT)","시간대14~17매출금액(TMZON_14_17_SELNG_AMT)","시간대17~21매출금액(TMZON_17_21_SELNG_AMT)","시간대21~24매출금액(TMZON_21_24_SELNG_AMT)","남성_매출금액(ML_SELNG_AMT)","여성_매출금액(FML_SELNG_AMT)","연령대10_매출금액(AGRDE_10_SELNG_AMT)","연령대20_매출금액(AGRDE_20_SELNG_AMT)","연령대30_매출금액(AGRDE_30_SELNG_AMT)","연령대40_매출금액(AGRDE_40_SELNG_AMT)","연령대50_매출금액(AGRDE_50_SELNG_AMT)","연령대60이상_매출금액(AGRDE_60_ABOVE_SELNG_AMT)","주중_매출건수(MDWK_SELNG_CO)","주말_매출건수(WKEND_SELNG_CO)","월요일_매출건수(MON_SELNG_CO)","화요일_매출건수(TUES_SELNG_CO)","수요일_매출건수(WED_SELNG_CO)","목요일_매출건수(THUR_SELNG_CO)","금요일_매출건수(FRI_SELNG_CO)","토요일_매출건수(SAT_SELNG_CO)","일요일_매출건수(SUN_SELNG_CO)","시간대00~06매출건수(TMZON_00_06_SELNG_CO)","시간대06~11매출건수(TMZON_06_11_SELNG_CO)","시간대11~14매출건수(TMZON_11_14_SELNG_CO)","시간대14~17매출건수(TMZON_14_17_SELNG_CO)","시간대17~21매출건수(TMZON_17_21_SELNG_CO)","시간대21~24매출건수(TMZON_21_24_SELNG_CO)","남성_매출건수(ML_SELNG_CO)","여성_매출건수(FML_SELNG_CO)","연령대10_매출건수(AGRDE_10_SELNG_CO)","연령대20_매출건수(AGRDE_20_SELNG_CO)","연령대30_매출건수(AGRDE_30_SELNG_CO)","연령대40_매출건수(AGRDE_40_SELNG_CO)","연령대50_매출건수(AGRDE_50_SELNG_CO)","연령대60이상_매출건수(AGRDE_60_ABOVE_SELNG_CO)","점포수(STOR_CO)","적재일시(LDADNG_DT)"
"2014","1","1*4*6","CS100010",515469605,14975,55.2,65.4,12.9,18.4,13.9,20.1,13.7,46.4,0,0,0,16.2,12.1,28.8,0.3,82.9,88.9,0,5.8,28.8,27,13.8,3.6,16563577,66752830,153741,8727822,18663014,15833871,67335400,3503116,0,0,0,3548928,8371859,3583923,0,257826911,252581033,84446,2620221,18115622,1482702,3181847,86990081,3688,622,64,694,6,0,0,1872,436,0,0,3741,404,3219,484,1664,214,357,0,7,5415,400,4858,2,"2019-09-20 14:26:16"
"2015","4","1*8*9*","CS200012",697742767,893,50,100,34.8,15.5,24.8,13.1,13,0,0,0,0,26.2,37.9,38.2,5,12.2,36.8,0,17.5,0,0,14,30.3,36981654,6952084,6715008,0,21624074,17266673,21795822,3390149,0,0,2360385,121237,348610,48157741,15911993,1173913,113069,880396,651277,65362647,382055,16957475,7228804,231,57,667,132,331,30,431,0,1671,0,84,0,272,198,0,126,163,27,56,1398,36,0,0,1,"2019-09-20 14:26:16"
"2014","1","1*1*7","CS300012",34690713,1751,50,46.5,9.9,13,8.9,10.8,19.1,13,17.5,0,0,25.9,0.5,45.3,9,31.8,88.9,0,0,19.4,25.7,11.4,3.1,22238961,0,11754596,0,5397789,2516424,1713435,2163217,324324,22332,804663,15940530,5965410,2423027,45959064,7070200,2698276,0,3591166,5940057,177273,1696348,43741065,1007,12553,313,27,100,247,7694,369,0,0,33,630,0,437,161,30,2463,21,0,53,2934,100,518,1,"2019-09-20 14:26:16"
"2017","2","2*9*9*","CS300010",537062983,7984,80.7,12.1,0,17.1,3.8,19.4,14.1,14.7,16,4.2,0,61.8,31.1,21.8,10.5,47.1,61.1,0.2,38.5,0,3.6,21.2,9.5,122435191,335868,3735763,1049107,25181370,14225197,5878402,5821551,0,1875286,2794426,59666727,20442695,118358711,0,35601109,105448449,0,383443,39237080,0,291097,1327859,36,685,32,593,9242,14,1074,1101,0,0,24,1072,0,853,28,7624,375,151,0,0,1354,1876,0,1,"2019-09-20 14:26:16"
"2019","2","1*9*5","CS300009",60281129,3075,93.6,15.6,15.1,19,31.7,11.4,15.6,11.9,0,0,0,47.4,0.9,49.3,14.2,66.6,71.7,1.3,51.4,16.5,9.1,25.1,20.7,28008404,4433652,4528990,155871,16410876,8026033,16765525,111167454,944840,0,0,27326260,125342504,81064346,1178447,142366144,21241144,0,2430337,13154802,12809845,19640731,7010962,5185,8685,2541,2685,68,18,98,6,171,128,116,1912,6238,4452,0,723,136,105,0,735,347,115,0,1,"2019-09-20 14:26:16"
"2014","3","2*8*6","CS200010",402137895,30585,68.2,25.5,9.4,18.4,16.4,14.4,5.6,24.5,35.7,0.1,0,5.1,22.8,15.9,14.1,63.5,18.6,0,0,9.6,13,24.7,28,7799999,1079046,10708641,32833903,4194082,127530190,728164,34585435,0,0,0,8381631,11019222,8027184,0,8370023,7299210,0,541204,20270760,6234102,125588106,0,930,103,4360,974,948,10480,181,82,0,1395,77,667,128,137,284,28,12,3356,55,150,625,2027,0,1,"2019-09-20 14:26:16"
"2018","1","2*6*5*","CS300007",196573622,1055,78.2,33.5,14.3,27.6,16.9,20.9,15.8,11.1,0,0,24.6,34.8,18.9,41.4,0,59.3,0,0,53.8,28.4,22.4,23.4,31.3,100474318,1401390,3525238,43463155,33533610,19613040,911300,7931584,15946822,0,26346264,115920,73861322,60153959,82347499,0,108803319,782697,0,8646253,191974910,2979951,494769,22098,138,39,546,142,23,177,215,0,0,0,1716,1833,217,1983,0,4662,0,32,3315,3550,477,990,1,"2019-09-20 14:26:16"
"2013","3","2*1*7*","CS300011",30432824,300,72.8,38.4,12.7,21,14.8,14.3,15.8,0,0,14.4,0,15.2,16.1,58.1,18.8,47.7,27.8,0.6,20.2,12.4,5.5,26.8,4.9,32400983,56522676,21025597,2749025,48708625,59592056,6674550,30866387,1378580,0,0,40073379,24078272,48377158,2604634,28452892,58432161,5120628,1621896,3289928,3881681,76995108,226222,33,0,1540,2623,69,174,514,261,16,0,17,12,244,0,407,22293,1881,392,0,191,260,878,2511,1,"2019-09-20 14:26:16"
"2019","2","4*4*0*","CS100010",121645753,23,56,6.8,0,12.5,21,0,0,28.2,0,17.3,45.9,27.2,7.6,27.4,12.5,0,55.1,8.5,14,29.5,13.6,15.9,40,85861415,5775669,17618684,0,3456306,12752289,2914740,7675752,0,0,18269862,20839484,6147426,11514549,0,52432307,1993652,0,12957338,1896764,42994838,24788008,9454453,1868,1071,107,170,0,18,0,617,1987,437,3765,0,80,4551,0,284,6287,46,112,216,3239,4540,1721,1,"2019-09-20 14:26:16"
"2016","4","2*1*1","CS200013",269802544,3818,75.5,29.1,15.6,10.6,15.8,12.1,14.4,10.2,17.1,0,2.2,29.9,39.4,40.6,0,32.1,26.9,0,8.6,16.7,20.3,13.9,0,17950410,22392370,2370929,0,4618894,6964826,726221,0,3093790,0,0,32685399,2101961,29700828,4675810,85977039,59100565,126356,32829788,65431,12788280,2078976,500002,9014,768,391,2744,777,27,1320,423,10,93,6401,2742,243,17025,15018,3569,556,2947,824,0,389,3874,373,1,"2019-09-20 14:26:16"
"2015","4","2*4*6*","CS300016",31446565,2385,44.3,57,14.2,17.9,19.1,13.6,0,19.6,14.2,3.3,1.2,51.6,19.9,26.9,17.8,51.7,39.3,8.3,31.4,20.5,16,27.6,2.2,23649719,242776023,2601226,6072019,682223,13802566,35683627,24724758,0,0,0,7478087,91660941,727713,9367978,748595562,16059035,38540,0,2034004,0,63241,3890100,627,4424,17,4289,30,48,35,0,0,39,160,262,80,1415,0,170,1496,206,550,0,728,1645,95,2,"2019-09-20 14:26:16"
"2015","2","1*0*1","CS200015",11755290,76,52.7,46.5,17.2,13,15.4,13.9,12.1,24.4,14.1,0,6.4,17.9,33.1,15.1,35.5,18.1,45.4,0,43.7,0,20.9,12.4,2.6,79487279,36581619,17814719,47191309,5994962,37766922,1887727,23530671,0,0,0,0,13313452,83075757,4335673,78030746,68217970,60098,0,349740,7187908,2130750,9254205,17090,704,3709,1403,7,538,128,1496,279,204,80,405,441,5300,0,38,1194,5,548,0,1905,50,108,1,"2019-09-20 14:26:16"
"2017","2","2*3*0","CS300005",13854228,707,65.2,5.9,21.4,8.4,12.5,17.8,13.4,20,14.6,0,0.6,11.1,16.1,54,2.1,48,100,0.1,26.3,50,32.4,17.9,3.8,9665428,30584679,16347459,5550239,8242628,75285996,13798057,4353636,11035590,0,0,88498427,1202073,41619520,7684762,1781819,9209018,0,18621409,24559092,691152,3870501,5988554,24,0,14,48,2398,0,674,186,0,121,0,48,0,118,0,153,615,10,985,8198,1009,10,25,1,"2019-09-20 14:26:16"
"2016","2","2*2*3*","CS300007",4728907,342,77.6,46.5,14.3,16,12.6,12.1,14.9,13.5,23,0,3.5,21.7,82,0,21.5,41.8,31,2,13.2,9.9,88.9,30.4,30.5,33665441,626631210,7189673,6957286,971787,136038367,1531935,0,0,12266302,7385426,2073210,26318958,19962825,54207011,0,5622212,3054204,0,6950066,0,0,163464764,307,404,19,415,206,833,51,130,487,0,205,484,447,24,880,120,50,0,465,752,341,1394,0,1,"2019-09-20 14:26:16"
"2016","1","2*9*1*","CS300007",45538172,787,93.3,8,0,15,16.1,18.1,6.3,100,7.3,0,10,15,0,26.4,0,37.3,58.6,0,12.5,11.1,20.7,18.3,3.8,88581854,58388881,106422,9223742,60624579,6000564,31680486,6943016,8065163,252579,0,5332594,19418926,1856503,13639299,0,25947182,26493,528440,1149385,448074,0,2317065,1382,36,334,8,1073,109,3595,88,595,0,0,340,232,8,64,1358,34,1758,15,0,1655,0,101,1,"2019-09-20 14:26:16"
"2015","1","2*3*0*","CS300008",130734735,2706,70.7,32.9,9.1,19.5,50,16.6,12.6,18.5,8.3,0,0,0,50,29.6,23.3,61.7,76.8,0,13.9,27.1,21,29.9,11.2,12637774,12135556,5262956,239225,15389592,103162184,37352528,2517241,38541618,17077319,1426065,19497925,0,142535269,6460250,141237951,23394460,279154,4323251,0,3806975,51255863,0,98285,1005,999,532,453,1932,1677,361,2510,0,3840,176,373,6036,0,160,1850,0,76,837,770,401,173,1,"2019-09-20 14:26:16"
"2017","1","2*1*2*","CS200014",9079497,60,53.5,34.7,100,16.1,13.8,14.1,15.5,10.9,10.7,16.6,0.6,6.3,32.1,23.5,1,67.7,35.9,0,26.2,21.4,4.9,26.8,0,126324033,3429135,0,35125543,187255,3254294,27394628,0,8910108,0,0,12552185,2800740,1853881,0,185899292,10201980,2885,0,10492854,102373562,109477712,118860,31,806,53,562,465,40,78,0,796,0,267,1095,530,64,0,4126,905,0,1049,5662,14,1919,39,1,"2019-09-20 14:26:16"
"2017","1","2*1*7*","CS100005",398030681,2966,76.5,8.7,9,6.7,16.5,15.9,10.8,13.3,9.5,0,2.1,42.6,17.4,50,0,54.9,100,0,14.6,24.4,8.2,25.6,26.3,16410761,8921682,535499,0,49424114,738636,6252348,5883823,16527574,0,12637706,0,20059880,3450944,71135449,16251944,18101279,0,20658999,2782378,19216633,627073,38541261,1641,0,309,84,6361,571,1795,1185,73,0,0,6795,65,8129,0,448,775,6,53,27,11,2483,96,3,"2019-09-20 14:26:16"
"2019","3","3*8*5*","CS100007",92986035,1139,86.7,13.1,11.8,13.3,3.5,15,16.6,16,0,0,24.4,0,12.3,0,6.3,49.7,50,2.8,7.3,21.3,29.5,0,7.5,6800352,25461109,698235,58856646,8521417,4959997,252439006,107212036,0,0,0,0,11840492,51547480,0,191131,9411026,0,5592379,6977363,64315773,30781382,7246403,5831,67,6828,304,11892,2583,341,6136,13,410,0,0,186,97,0,1674,11,200,54,235,194,290,1116,3,"2019-09-20 14:26:16"
"2016","2","4*1*2*","CS100010",98881888,110,95.6,17,14.8,11.9,13.6,13.3,15.6,19.6,0,0,12.2,0,31.3,55.6,53,40.3,48.2,2,27.6,22.5,76.2,0,3.2,49770573,12167046,1539374,35464036,12960768,11336126,9312581,0,3408581,0,109246,0,66773607,247622678,367749,116024553,153898080,0,35921369,5171563,9577960,32677054,43219130,334,145,18,2675,482,26,110,1917,0,0,0,1941,110,6579,0,1852,109,446,116,57,0,183,303,1,"2019-09-20 14:26:16"
"2017","3","2*3*5*","CS100001",194643,230,59.5,0,0,28.4,6.5,25,17.1,0,10.2,0,12.5,39,2.7,29.7,4.7,34.5,86.9,0,0,0,0,12.3,32.8,337929832,4306869,936352,16902964,1032569,20997036,5893872,1278729,696725,0,1030586,2130412,18722020,3085488,0,48976547,2716867,0,43820641,1065523,1084892,14144306,9615485,1754,1690,40,224,182,81,83,60,8619,10,0,97,0,33,12,406,266,63,2760,20359,79,0,1477,3,"2019-09-20 14:26:16"
"2017","3","1*9*5","CS100001",80523854,312,78.6,32.5,13,0,16.7,15.5,14.1,12.1,11,0,0,44.4,44.6,26.2,52,50.9,100,0,9.9,0,38.9,19.4,21.8,1209856,2545773,28604035,130328251,730162,0,3863553,6614287,0,7261429,3431707,2836274,3751692,1477391,45819844,299306008,2820159,0,10861564,30482139,9475776,86334,6245598,5777,14,1434,306,290,75,749,213,9,0,1729,87,18,585,42,2123,33,42,207,1024,47,217,103,5,"2019-09-20 14:26:16"
"2016","2","2*0*8*","CS300011",17081361,154,72.4,8.4,14.2,13.7,14,12.9,17,25.9,0,0,0,15.3,15.9,37.2,2.7,59.8,0,8.3,10.7,18.9,22.5,31.6,85.9,1890542011,127642,20376706,1538177,19245973,98137086,858799,0,3931977,0,0,755915,18827850,2366963,0,35466232,352979290,309344,0,702313,28075916,14880886,4964262,102,2980,1535,16,290,260,801,87,449,0,0,467,20,129,0,1007,29,0,48,509,462,211,1129,2,"2019-09-20 14:26:16"
"2016","3","1*0*0","CS200006",24000000,96,66.7,24.3,16.7,15.8,17.5,23.2,3.1,15.1,13.3,2.9,0,27.8,18.8,25.2,11.4,82.3,87.1,0.7,0,11,26,22.3,3.9,5285379,1962188,0,20287073,253004,23410902,3962495,873063,0,21144294,3636975,3148420,53006531,5247938,7960945,21431725,208656453,28804090,15112154,12747936,102883797,156305868,0,8368,100,0,522,1130,6,0,324,0,0,389,0,0,2020,0,64,10432,11,415,100,1871,864,227,2,"2019-09-20 14:26:16"
"2018","3","3*5*5*","CS200014",31808011,36726,74.3,31.5,17.3,11.8,14.1,23.6,14.4,11.1,18.4,2.9,0,33.3,20.5,30.9,39.2,47.8,42.8,0,10.6,33.5,4.3,33.3,40.9,14382131,1617021,132760593,971025,4740319,6010551,4801655,20854666,24021268,0,0,71181669,10002945,10016350,860008,66356676,40806532,184220,90877632,1409673,28401303,11894552,13045433,380076,78,937,8,94,25176,19,80,469,0,1754,2865,261,6089,141,6636,9610,1776,33,3576,7509,615,1364,1,"2019-09-20 14:26:16"
"2014","3","4*6*6*","CS300007",30685049,1823,62.4,31.1,16.4,0,33.3,9.7,3.3,17.5,0,7,0.2,0,21.1,37.3,26,43.3,79.2,0.1,5.5,0,16.2,5.9,0.6,2769803,29295512,14712672,80215473,6336424,4847794,590832,171709249,0,53725070,4513006,2044625,21985474,48738273,10435864,15248861,39431346,0,70589785,137407715,7608455,8164285,0,245,48,171,296,17,0,939,19714,2229,0,481,1118,575,200,617,656,268,0,64,1045,122,8022,21,7,"2019-09-20 14:26:16"
"2013","3","3*4*8*","CS200010",76470963,3526,53,32.6,30.1,30.8,22.7,14.9,15.6,0,18.6,0,0,100,0,27.8,0,80.8,71.3,0.1,20,31.8,16.2,7.2,3.2,1943988,29537934,132216,1202269,47332444,3860814,38468204,0,159236382,0,0,8645777,18750000,79407771,4762617,38986479,33435046,0,0,371996,50603171,221980359,5414169,128,21349,1977,97,9,0,9332,1060,0,0,0,10452,31,2422,41,3690,24,0,1421,0,217,360,200,1,"2019-09-20 14:26:16"
"2014","4","2*2*8","CS200015",2170886,54,62,50,5.6,8.2,14.5,15,13.9,21.6,7.1,0.1,22.6,0,25,0,5.6,100,0,0,6.4,38.7,100,16.8,14.1,33700453,0,44197331,1415583,2509177,12929540,497226,24420057,0,21097317,0,44882024,64870907,9644926,195023,85912349,408763407,34493418,5698874,805498,2988646,193566423,5574693,1170,0,93,75,3628,0,31,150,0,1592,1215,763,0,776,0,1222,2527,2099,0,1946,9270,148,1766,1,"2019-09-20 14:26:16"
"2013","4","3*2*5*","CS300004",112918496,683,67.2,5.7,13,12.7,9.4,10.8,14.1,17.3,0,1.4,0,2.6,5.3,37.5,0,63.7,23.4,0,50.2,0,33.8,4.7,2,119558373,25823782,7636433,18545021,4393085,11203322,35047687,17907605,2423900,0,263310,22498673,47769113,37720526,15152832,6674223,2403023,0,2084795,0,11097833,1278167,245470,67,15078,611,2404,261,62,11632,0,42,0,0,172,1586,60,952,242,718,0,0,96,26016,53,443,1,"2019-09-20 14:26:16"
