소재지도로명,소재지도로명주소,소재지지번주소,상세위치,위도,경도,설치장소유형,수거쓰레기종류,쓰레기통형태,관리기관명,관리기관전화번호,데이터기준일자
개봉로,서울특별시 구로구 개봉로 22,서울특별시 구로구 개봉동 403-171,,37.48750656,126.856558,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
개봉로,서울특별시 구로구 개봉로 34,서울특별시 구로구 개봉동 403-154,,37.48860421,126.8564451,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경서로,서울특별시 구로구 경서로 47,서울특별시 구로구 고척동 134-33,,37.50149371,126.8585145,"정류소(버스, 택시 등)",재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
중앙로,서울특별시 구로구 중앙로 37,,,,,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
중앙로,서울특별시 구로구 중앙로 37,,,,,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
중앙로10길,서울특별시 구로구 중앙로10길 7,,,,,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
중앙로,서울특별시 구로구 중앙로 63,,,,,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
중앙로,서울특별시 구로구 중앙로 76,,,,,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
고척로,서울특별시 구로구 고척로 238,서울특별시 구로구 고척동 333,,,,"정류소(버스, 택시 등)",재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,서울특별시 구로구 경인로 331,,,,,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,서울특별시 구로구 경인로 403,,,,,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,서울특별시 구로구 경인로 403,,,,,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,서울특별시 구로구 경인로 433,,,,,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,서울특별시 구로구 경인로 445,,,,,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,서울특별시 구로구 경인로 445,,,,,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
고척로,서울특별시 구로구 고척로 195,,,,,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
고척로,서울특별시 구로구 고척로 177,,,,,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
고척로,서울특별시 구로구 고척로 202,,,,,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
고척로,서울특별시 구로구 고척로 206,,,,,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
고척로,서울특별시 구로구 고척로 209-1,,,,,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
고척로,서울특별시 구로구 고척로 142-1,서울특별시 구로구 고척동 194-3,,,,"정류소(버스, 택시 등)",일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
고척로,서울특별시 구로구 고척로 142-1,서울특별시 구로구 고척동 333,,,,"정류소(버스, 택시 등)",일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구일로4길,서울특별시 구로구 구일로4길 46,서울특별시 구로구 구로동 685-70,현대연예인아파트 입구,37.49326723,126.8778699,"정류소(버스, 택시 등)",재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구일로4길,서울특별시 구로구 구일로4길 57,서울특별시 구로구 구로동 685-213,구로1동주민센터 앞,37.49304008,126.8757883,"정류소(버스, 택시 등)",재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
남부순환로,서울특별시 구로구 구로동 693-2,,좌,,,"정류소(버스, 택시 등)",재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
남부순환로,서울특별시 구로구 구로동 693-2,,우,,,"정류소(버스, 택시 등)",재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 87,서울특별시 구로구 구로동 1281-1,한일유앤아이아파트 입구,37.48584845,126.876157,"정류소(버스, 택시 등)",재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구일로,서울특별시 구로구 구일로 62,서울특별시 구로구 구로동 685-219,구일어린이집 옆,37.49177716,126.8743642,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구일로2길,서울특별시 구로구 구일로2길 60,서울특별시 구로구 구로동 1259,구일우성A상가 앞,37.48975807,126.8770812,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구일로8길,서울특별시 구로구 구일로8길 31,서울특별시 구로구 구로동 1058,구로우성A 101동 뒷편,37.49517251,126.8726762,"정류소(버스, 택시 등)",재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로중앙로,서울특별시 구로구 구로중앙로 135-6,서울특별시 구로구 구로동 500-27,,37.49995073,126.8828691,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로중앙로,서울특별시 구로구 구로중앙로 135-6,서울특별시 구로구 구로동 500-27,,37.49995073,126.8828691,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 141,서울특별시 구로구 구로동 704-57,,37.4913197,126.883399,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 245,서울특별시 구로구 구로동 435,정문,37.49551123,126.8882891,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 245,서울특별시 구로구 구로동 435,후문,37.49551123,126.8882891,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 235,서울특별시 구로구 구로동 436-1,,37.49453206,126.887015,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 250,서울특별시 구로구 구로동 83-4,,37.49481403,126.8886765,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 250,서울특별시 구로구 구로동 83-4,,37.49481403,126.8886765,도로변(횡단보도 포함),일반쓰레기,항아리형 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 250,서울특별시 구로구 구로동 83-4,,37.49481403,126.8886765,도로변(횡단보도 포함),일반쓰레기,항아리형 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 135,서울특별시 구로구 구로동 754-9,,37.4906411,126.8837098,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 206,서울특별시 구로구 구로동 426-92,,37.49304247,126.883991,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 159,서울특별시 구로구 구로동 413-80,,37.49273634,126.8832036,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,서울특별시 구로구 경인로 565,서울특별시 구로구 구로동 604-19,,37.50363988,126.8797139,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,서울특별시 구로구 경인로 557,서울특별시 구로구 구로동 606-4,,37.50310865,126.8790091,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,서울특별시 구로구 경인로 518,서울특별시 구로구 구로동 636-1,,37.50023921,126.8769102,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 179,서울특별시 구로구 구로동 461-7,,37.49445292,126.8825421,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 203,서울특별시 구로구 구로동 481-7,,37.49671859,126.8822699,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동 490,,버스,,,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 174,서울특별시 구로구 구로동 416-1,,37.49404864,126.8833646,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 180-2,서울특별시 구로구 구로동 704-38,,37.49168151,126.8822748,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 222,서울특별시 구로구 구로동 80-4,,37.49349581,126.8857884,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로9길,서울특별시 구로구 가마산로9길 4-4,서울특별시 구로구 구로동 402-7,,37.49154041,126.8816385,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
벚꽃로,서울특별시 구로구 벚꽃로 484,서울특별시 구로구 구로동 476-134,,37.49733165,126.8801354,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 125-1,서울특별시 구로구 구로동 726-3,,37.48982287,126.8840474,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 107,서울특별시 구로구 구로동 721-14,,37.48813556,126.8845201,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 203,서울특별시 구로구 구로동 426-6,,37.49340254,126.8837472,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,,,버스전용차로-17005,,,"정류소(버스, 택시 등)",일반쓰레기,항아리형 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,,,버스전용차로-17005,,,"정류소(버스, 택시 등)",일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,,,버스전용차로-17006,,,"정류소(버스, 택시 등)",일반쓰레기,항아리형 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
겨인로,,,버스전용차로-17006,,,"정류소(버스, 택시 등)",일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 250,서울특별시 구로구 구로동 83-4,,37.49481403,126.8886765,도로변(횡단보도 포함),일반쓰레기,항아리형 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 250,서울특별시 구로구 구로동 83-4,,37.49481403,126.8886765,도로변(횡단보도 포함),일반쓰레기,항아리형 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 242,서울특별시 구로구 구로동 83,,37.49436222,126.8876711,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 238-1,서울특별시 구로구 구로동 497-7,,37.49983443,126.8826164,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 153,서울특별시 구로구 구로동 413-88,,37.4923559,126.8834335,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 218,서울특별시 구로구 구로동 80-24,,37.49321551,126.8851411,"정류소(버스, 택시 등)",일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 218,서울특별시 구로구 구로동 80-24,,37.49321551,126.8851411,"정류소(버스, 택시 등)",일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 242,서울특별시 구로구 구로동 83,,37.49436222,126.8876711,"정류소(버스, 택시 등)",일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 173,서울특별시 구로구 구로동 415-3,,37.49392402,126.8829027,"정류소(버스, 택시 등)",일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 216,서울특별시 구로구 구로동 486-11,,37.49784789,126.8827014,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 245,서울특별시 구로구 구로동 436-1,구로구청,37.49453206,126.887015,도로변(횡단보도 포함),일반쓰레기,IoT태양광 압축 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 153,서울특별시 구로구 구로동 413-88,,37.4923559,126.8834335,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 219,서울특별시 구로구 구로동 486-55,,37.49813373,126.8822071,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
가마산로,서울특별시 구로구 가마산로 205,서울특별시 구로구 구로동 426-69,,37.49346137,126.884108,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 170,서울특별시 구로구 구로동 416-7,,37.49376116,126.883394,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 210,서울특별시 구로구 구로동 487-28,,37.49721417,126.8826589,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 203,서울특별시 구로구 구로동 481-7,,37.49671859,126.8822699,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
도림로,서울특별시 구로구 도림로 6,서울특별시 구로구 구로동 801-51,,37.4851606,126.8867371,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
도림로,서울특별시 구로구 도림로 6,서울특별시 구로구 구로동 801-51,,37.4851606,126.8867371,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
도림로,서울특별시 구로구 도림로 6,서울특별시 구로구 구로동 801-51,,37.4851606,126.8867371,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로,서울특별시 구로구 디지털로 273,서울특별시 구로구 구로동 212-30,,37.48395432,126.8941033,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로,서울특별시 구로구 디지털로 292,서울특별시 구로구 구로동 188-11,,37.48469365,126.8958922,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로 ,서울특별시 구로구 디지털로 319,서울특별시 구로구 구로동 1256,,37.49003775,126.8954329,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로26길,서울특별시 구로구 디지털로26길 5,서울특별시 구로구 구로동 235-2,,37.48161059,126.8934793,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로31길,서울특별시 구로구 디지털로31길 120,서울특별시 구로구 구로동 1280,,37.48847002,126.890773,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로32길,서울특별시 구로구 디지털로32길 55,서울특별시 구로구 구로동 817,,37.48398669,126.8983387,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로32길,서울특별시 구로구 디지털로32길 79,서울특별시 구로구 구로동 824,,37.48353325,126.899752,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로32길,서울특별시 구로구 디지털로32길 79,서울특별시 구로구 구로동 824,,37.48353325,126.899752,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로32나길,서울특별시 구로구 디지털로32나길 38,서울특별시 구로구 구로동 1124-42,,37.48454459,126.9011985,상가지역,일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로32나길,서울특별시 구로구 디지털로32나길 51,서울특별시 구로구 구로동 1124-49,,37.48490133,126.9003821,지하철역 입구,일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
시흥대로,서울특별시 구로구 시흥대로 563,서울특별시 구로구 구로동 1125-9,,37.48298724,126.9010446,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
시흥대로,서울특별시 구로구 시흥대로 563,서울특별시 구로구 구로동 1125-9,,37.48298724,126.9010446,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
