연번,자치구명,도로(가로)명,설치위치,세부위치,설치지점,수거 쓰레기 종류,형태,담당자 연락처
32,서울특별시 강서구,공항대로,우장산동,발산역16-112,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
33,서울특별시 강서구,공항대로,우장산동,발산역16-112,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
34,서울특별시 강서구,공항대로,공항동,송정역16-116,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
35,서울특별시 강서구,공항대로,공항동,송정역16-116,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
36,서울특별시 강서구,공항대로,가양1동,발산역9번출구,지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
37,서울특별시 강서구,공항대로,공항동,송정역1번출구,지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
38,서울특별시 강서구,공항대로,공항동,송정역1번출구,지하철입구, 재활용수거  ,일반쓰레기통,02-2600-4067
39,서울특별시 강서구,공항대로,염창동,서울특별시 강서구보건소 앞,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
40,서울특별시 강서구,공항대로,염창동,서울특별시 강서구보건소 앞,다중집합장소, 재활용수거  ,일반쓰레기통,02-2600-4067
41,서울특별시 강서구,공항대로,염창동,도레미빌딩앞,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
42,서울특별시 강서구,공항대로,등촌1동,등촌삼거리,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
43,서울특별시 강서구,공항대로,등촌1동,등촌삼거리,다중집합장소, 재활용수거  ,일반쓰레기통,02-2600-4067
44,서울특별시 강서구,공항대로,공항동,송정역 4번출구앞,지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
45,서울특별시 강서구,공항대로,공항동,송정역 4번출구앞,지하철입구, 재활용수거  ,일반쓰레기통,02-2600-4067
46,서울특별시 강서구,공항대로,공항동,송정초등학교 앞,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
47,서울특별시 강서구,공항대로,공항동,송정초등학교 앞,다중집합장소, 재활용수거  ,일반쓰레기통,02-2600-4067
48,서울특별시 강서구,공항대로,등촌1동,정보화진흥공단,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
49,서울특별시 강서구,공항대로,등촌1동,하이웨이주유소건너,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
50,서울특별시 강서구,공항대로,등촌1동,하이웨이주유소건너,다중집합장소, 재활용수거  ,일반쓰레기통,02-2600-4067
51,서울특별시 강서구,공항대로,염창동,서울특별시 강서구평생학습관 앞,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
52,서울특별시 강서구,공항대로,염창동,서울특별시 강서구평생학습관 앞,다중집합장소, 재활용수거  ,일반쓰레기통,02-2600-4067
53,서울특별시 강서구,공항대로45길,등촌1동,골프장16-558,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
54,서울특별시 강서구,공항대로,공항동,송정역(중앙차로),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
55,서울특별시 강서구,공항대로,공항동,송정역(중앙차로),버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
56,서울특별시 강서구,금낭화로,방화1동,국민은행방화동지점,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
57,서울특별시 강서구,금낭화로,방화1동,국민은행방화동지점,다중집합장소, 재활용수거  ,일반쓰레기통,02-2600-4067
58,서울특별시 강서구,금낭화로,방화3동,국립국어원16-133,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
59,서울특별시 강서구,금낭화로,방화3동,국립국어원16-133,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
60,서울특별시 강서구,등촌로,등촌2동,영일고등학교16-173,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
61,서울특별시 강서구,등촌로,등촌2동,대일고등학교16-176,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
62,서울특별시 강서구,등촌로,등촌2동,대일고등학교16-176,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
63,서울특별시 강서구,등촌로,화곡4동,목동사거리16-179,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
64,서울특별시 강서구,등촌로,화곡4동,목동사거리16-179,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
65,서울특별시 강서구,방화대로,방화1동,세민정보고등학교16-306,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
66,서울특별시 강서구,방화대로,방화1동,세민정보고등학교16-306,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
67,서울특별시 강서구,방화대로,방화1동,신방화역 3번출구,지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
68,서울특별시 강서구,방화대로,방화1동,신방화역 3번출구,지하철입구, 재활용수거  ,일반쓰레기통,02-2600-4067
69,서울특별시 강서구,방화동로,공항동,공항시장16-119,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
70,서울특별시 강서구,방화동로,공항동,국민은행공항동16-120,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
71,서울특별시 강서구,방화동로,공항동,국민은행공항동16-120,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
72,서울특별시 강서구,양천로,염창동,"염창동아3차,나이아가라호텔16-245",버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
73,서울특별시 강서구,양천로,염창동,염창동새마을금고16-248,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
74,서울특별시 강서구,양천로,염창동,"블루나인비지니스센터,이마트16-253",버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
75,서울특별시 강서구,양천로,염창동,"블루나인비지니스센터,이마트16-254",버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
76,서울특별시 강서구,양천로,염창동,"블루나인비지니스센터,이마트16-254",버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
77,서울특별시 강서구,양천로,등촌3동,등촌동대림아파트16-265,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
78,서울특별시 강서구,양천로,가양1동,가양동CJ주식회사16-267,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
79,서울특별시 강서구,양천로,가양1동,겸재정선기념관16-272,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
80,서울특별시 강서구,양천로,가양1동,서남환경공원마곡 16-278,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
81,서울특별시 강서구,양천로,방화2동,개화산역16-287,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
82,서울특별시 강서구,양천로,방화2동,개화산역16-287,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
83,서울특별시 강서구,양천로,가양1동,양천향교역16-309,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
84,서울특별시 강서구,양천로,가양3동,증미역2번출구,지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
85,서울특별시 강서구,양천로,가양3동,가양역5번출구,지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
86,서울특별시 강서구,양천로,가양3동,가양역5번출구,지하철입구, 재활용수거  ,일반쓰레기통,02-2600-4067
87,서울특별시 강서구,양천로,가양1동,양천향교역 1번출구,지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
88,서울특별시 강서구,양천로,가양1동,양천향교역 1번출구,지하철입구, 재활용수거  ,일반쓰레기통,02-2600-4067
89,서울특별시 강서구,양천로,염창동,염창동주유소앞,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
90,서울특별시 강서구,양천로,가양1동,양천초등학교16-270,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
91,서울특별시 강서구,양천로59길,가양3동,서울특별시 강서구구청가양동별관,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
92,서울특별시 강서구,양천로59길,가양3동,서울특별시 강서구구청가양동별관,다중집합장소, 재활용수거  ,일반쓰레기통,02-2600-4067
93,서울특별시 강서구,양천로59길,가양3동,서울특별시 강서구구청가양별관16-241,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
94,서울특별시 강서구,허준로,가양1동,가양한강타운아파트16-227,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
95,서울특별시 강서구,허준로,가양1동,가양한강타운아파트16-227,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
96,서울특별시 강서구,허준로,가양2동,가양동천주교회26-232,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
97,서울특별시 강서구,허준로,가양2동,공진중학교16-233,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
98,서울특별시 강서구,허준로,가양2동,가양도시개발4단지아파트16-235,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
99,서울특별시 강서구,허준로,가양2동,대림경동아파트16-235,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
100,서울특별시 강서구,허준로,가양2동,가양5단지아파트16-237,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
101,서울특별시 강서구,허준로,가양1동,가양한강타운아파트16-228,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
102,서울특별시 강서구,허준로,가양1동,가양한강타운아파트16-228,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
103,서울특별시 강서구,화곡로,등촌3동,마포고등학교16-136,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
104,서울특별시 강서구,화곡로,등촌3동,마포고등학교16-136,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
105,서울특별시 강서구,화곡로,등촌1동,경복여상 앞16-137,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
106,서울특별시 강서구,화곡로,등촌1동,경복여상 앞16-137,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
107,서울특별시 강서구,화곡로,등촌3동,경복여고16-138,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
108,서울특별시 강서구,화곡로,등촌3동,경복여고16-138,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
109,서울특별시 강서구,화곡로,화곡6동,서울특별시 강서구구청16-139,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
110,서울특별시 강서구,화곡로,화곡6동,서울특별시 강서구구청16-139,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
111,서울특별시 강서구,화곡로,화곡6동,서울특별시 강서구구청16-140,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
112,서울특별시 강서구,화곡로,화곡6동,서울특별시 강서구구청16-140,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
113,서울특별시 강서구,화곡로,화곡6동,우장초등학교16-141,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
114,서울특별시 강서구,화곡로,화곡6동,우장초등학교16-141,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
115,서울특별시 강서구,화곡로,화곡6동,우장초등학교16-142,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
116,서울특별시 강서구,화곡로,화곡본동,폴리텍대학16-144,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
117,서울특별시 강서구,화곡로,화곡본동,폴리텍대학16-144,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
118,서울특별시 강서구,화곡로,우장산동,화곡시장16-145,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
119,서울특별시 강서구,화곡로,우장산동,화곡시장16-145,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
120,서울특별시 강서구,화곡로,화곡본동,화곡시장16-146,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
121,서울특별시 강서구,화곡로,화곡본동,화곡시장16-146,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
122,서울특별시 강서구,화곡로,화곡1동,화곡역에이스정형외과16-147,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
123,서울특별시 강서구,화곡로,화곡1동,화곡역에이스정형외과16-147,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
124,서울특별시 강서구,화곡로,화곡3동,화곡역에이스정형외과16-148,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
125,서울특별시 강서구,화곡로,화곡3동,화곡역에이스정형외과16-148,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
126,서울특별시 강서구,화곡로,화곡1동,화곡푸르지오16-149,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
127,서울특별시 강서구,화곡로,화곡1동,화곡푸르지오16-149,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
128,서울특별시 강서구,화곡로,화곡본동,제일성심병원16-341,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
129,서울특별시 강서구,화곡로,우장산동,제일성심병원16-361,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
130,서울특별시 강서구,화곡로,가양3동,가양역4번출구,지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
131,서울특별시 강서구,화곡로,가양2동,가양역3번출구쪽,지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
132,서울특별시 강서구,화곡로,가양2동,가양역3번출구쪽,지하철입구, 재활용수거  ,일반쓰레기통,02-2600-4067
133,서울특별시 강서구,화곡로,등촌3동,가양역9번출구,지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
134,서울특별시 강서구,화곡로,등촌3동,가양역9번출구,지하철입구, 재활용수거  ,일반쓰레기통,02-2600-4067
135,서울특별시 강서구,화곡로,화곡1동,"화곡역5,6번출구쪽",지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
136,서울특별시 강서구,화곡로,화곡1동,"화곡역5,6번출구쪽",지하철입구, 재활용수거  ,일반쓰레기통,02-2600-4067
137,서울특별시 강서구,화곡로,화곡3동,"화곡역7,8번출구쪽",지하철입구, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
138,서울특별시 강서구,화곡로,화곡3동,"화곡역7,8번출구쪽",지하철입구, 재활용수거  ,일반쓰레기통,02-2600-4067
139,서울특별시 강서구,화곡로,화곡6동,서울특별시 강서구구청앞1,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
140,서울특별시 강서구,화곡로,화곡6동,서울특별시 강서구구청앞2,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
141,서울특별시 강서구,마곡중앙5로,방화1동,신방화역 4번 출구 토마토 김밥집 앞,다중집합장소, 일반쓰레기 수거용 ,항아리형 쓰레기통,02-2600-4067
142,서울특별시 강서구,마곡중앙5로,방화1동,신방화역 4번 출구 토마토 김밥집 앞,다중집합장소, 재활용수거  ,항아리형 쓰레기통,02-2600-4067
143,서울특별시 강서구,마곡서1로,방화1동,신방화역 5번 출구 행복부동산 앞,다중집합장소, 일반쓰레기 수거용 ,항아리형 쓰레기통,02-2600-4067
144,서울특별시 강서구,마곡서1로,방화1동,신방화역 5번 출구 행복부동산 앞,다중집합장소, 재활용수거  ,항아리형 쓰레기통,02-2600-4067
145,서울특별시 강서구,마곡중앙로,발산1동,엠벨리15단지 버스정류장 앞16-428,버스정류장, 일반쓰레기 수거용 ,항아리형 쓰레기통,02-2600-4067
146,서울특별시 강서구,마곡중앙로,발산1동,엠벨리15단지 버스정류장 앞16-428,버스정류장, 재활용수거  ,항아리형 쓰레기통,02-2600-4067
147,서울특별시 강서구,강서로,등촌3동,그랜드마트 정류장앞16-337,버스정류장, 일반쓰레기 수거용 ,항아리형 쓰레기통,02-2600-4067
148,서울특별시 강서구,강서로,등촌3동,그랜드마트 정류장앞16-337,버스정류장, 재활용수거  ,항아리형 쓰레기통,02-2600-4067
149,서울특별시 강서구,양천로59길,가양3동,서울특별시 강서구구청 가양동별관,다중집합장소, 일반쓰레기 수거용 ,항아리형 쓰레기통,02-2600-4067
150,서울특별시 강서구,양천로59길,가양3동,서울특별시 강서구구청 가양동별관,다중집합장소, 재활용수거  ,항아리형 쓰레기통,02-2600-4067
151,서울특별시 강서구,화곡로,화곡6동,서울특별시 강서구구청 본관 공원,다중집합장소, 일반쓰레기 수거용 ,항아리형 쓰레기통,02-2600-4067
152,서울특별시 강서구,화곡로,화곡6동,서울특별시 강서구구청 본관 공원,다중집합장소, 재활용수거  ,항아리형 쓰레기통,02-2600-4067
153,서울특별시 강서구,화곡로,화곡6동,서울특별시 강서구구청 본관 뒤편 공원,다중집합장소, 일반쓰레기 수거용 ,항아리형 쓰레기통,02-2600-4067
154,서울특별시 강서구,허준로,가양3동,가양3동주민센터 버스정류장(16-242),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
155,서울특별시 강서구,양천로,가양1동,서울특별시 강서구한강자이아파트 버스정류장(16-266),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
156,서울특별시 강서구,양천로,염창동,염창동한마음.관음삼성아파트(16-249),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
157,서울특별시 강서구,허준로,가양3동,가양3동 1484-6 인도변,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
158,서울특별시 강서구,강서로,가양1동,양천향교역.휴먼빌아파트버스정류장(16-225),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
159,서울특별시 강서구,가로공원로,화곡1동,화원중학교버스정류장(16-202),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
160,서울특별시 강서구,월정로,화곡1동,황외과앞버스정류장(16-190),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
161,서울특별시 강서구,곰달래로,화곡1동,서울특별시 강서구한방병원버스정류장(16-328),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
162,서울특별시 강서구,곰달래로,화곡1동,화곡동유림아파트버스정류장(16-188),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
163,서울특별시 강서구,곰달래로,화곡2동,서울신정초등학교버스정류장(16-182),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
164,서울특별시 강서구,곰달래로,화곡4동,화곡동남부시장버스정류장(16-180),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
165,서울특별시 강서구,등촌로,화곡4동,목동사거리버스정류장(16-178),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
166,서울특별시 강서구,남부순환로,발산1동,서울특별시 강서구면허시험장메이필드호텔 정류장(16-153),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
167,서울특별시 강서구,강서로,가양1동,등촌3동그랜드백화점  버스정류장(16-219),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
168,서울특별시 강서구,수명로,발산1동,마곡수명산파크5단지6단지  정류장(16-417),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
169,서울특별시 강서구,공항대로,가양1동,마곡역 버스정류장(16-018),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
170,서울특별시 강서구,마곡중앙로,가양1동,마곡역 버스정류장(16-398),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
171,서울특별시 강서구,강서로,우장산동,발산역.우장산힐스테이트버스정류장(16-217),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
172,서울특별시 강서구,남부순환로,발산1동,외발산광명마을 버스정류장(16-152),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
173,서울특별시 강서구,남부순환로,공항동,공항동천주교회 버스정류장(16-161),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
174,서울특별시 강서구,김포대로,방화2동,상사마을입구 버스정류장(16-172),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
175,서울특별시 강서구,마곡중앙5로,가양1동,마곡나루역 버스정류장(16-396),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
176,서울특별시 강서구,마곡중앙5로,가양1동,마곡나루역 버스정류장(16-396),버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
177,서울특별시 강서구,마곡중앙5로,가양1동,마곡나루역1번출구 버스정류장(16-399),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
178,서울특별시 강서구,마곡중앙5로,가양1동,마곡나루역1번출구 버스정류장(16-399),버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
179,서울특별시 강서구,마곡중앙5로,가양1동,마곡엠밸리7단지.712동 버스정류장(16-702),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
180,서울특별시 강서구,마곡중앙5로,가양1동,마곡엠밸리7단지.712동 버스정류장(16-702),버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
181,서울특별시 강서구,방화대로,방화1동,마곡엠밸리5단지 버스정류장(16-706),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
182,서울특별시 강서구,방화대로,방화1동,마곡엠밸리5단지 버스정류장(16-706),버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
183,서울특별시 강서구,마곡서로,가양1동,마곡엠벨리7단지앞 마을버스정류장(마곡동767-6),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
184,서울특별시 강서구,등촌로,등촌2동,영일고등학교.서울특별시 강서구도서관 버스정류장(16-173),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
185,서울특별시 강서구,등촌로,등촌2동,아이파크아파트.백석중학교 버스정류장(16-174),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
186,서울특별시 강서구,등촌로,등촌2동,등촌2동주민센터.등촌동대림아파트 버스정류장(16-175),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
187,서울특별시 강서구,등촌로,등촌2동,용문사.시립화곡청소년수련관 버스정류장(16-177),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
188,서울특별시 강서구,마곡서1로,가양1동,서울특별시 강서구세무서.공항초교(16-528),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
189,서울특별시 강서구,마곡서1로,가양1동,서울특별시 강서구세무서.공항초교(16-622),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
190,서울특별시 강서구,공항대로,공항동,공항중학교.공항초등학교(중)(16-016),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
191,서울특별시 강서구,공항대로,공항동,공항중학교.공항초등학교(중)(16-020),버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
